时间,个股,得分
2026-01-27/1,明阳智能,6.0
2026-01-27/1,宏景科技,5.0
2026-01-27/1,优刻得,4.0
2026-01-27/1,青云科技,4.0
2026-01-27/1,钧达股份,3.0
2026-01-27/1,深信服,3.0
2026-01-27/1,大位科技,3.0
2026-01-27/1,科华数据,3.0
2026-01-27/1,天数智芯,3.0
2026-01-27/1,首都在线,3.0
2026-01-27/1,网宿科技,3.0
2026-01-27/1,双良节能,3.0
2026-01-27/1,奥特维,3.0
2026-01-27/1,迈为股份,3.0
2026-01-27/1,奥飞数据,3.0
2026-01-27/1,润泽科技,3.0
2026-01-27/1,中天科技,2.0
2026-01-27/1,亨通光电,2.0
2026-01-27/1,协创数据,2.0
2026-01-27/1,润建股份,2.0
2026-01-27/1,中科电气,2.0
2026-01-27/1,东方日升,2.0
2026-01-27/1,金风科技,2.0
2026-01-27/1,高测股份,2.0
2026-01-27/1,捷佳伟创,2.0
2026-01-27/1,大金重工,2.0
2026-01-27/1,海力风电,2.0
2026-01-27/1,东方电缆,2.0
2026-01-27/1,光环新网,2.0
2026-01-27/1,中控技术,2.0
2026-01-27/1,阿里巴巴,2.0
2026-01-27/1,金山云,2.0
2026-01-27/1,浪潮信息,2.0
2026-01-27/1,顺网科技,2.0
2026-01-27/1,天顺风能,2.0
2026-01-27/1,连城数控,2.0
2026-01-27/1,大中矿业,1.0
2026-01-27/1,盐湖股份,1.0
2026-01-27/1,青木科技,1.0
2026-01-27/1,盛新锂能,1.0
2026-01-27/1,国城矿业,1.0
2026-01-27/1,天齐锂业,1.0
2026-01-27/1,赣锋锂业,1.0
2026-01-27/1,晶盛机电,1.0
2026-01-27/1,中矿资源,1.0
2026-01-27/1,永兴材料,1.0
2026-01-27/1,泽润新能,1.0
2026-01-27/1,太极股份,1.0
2026-01-27/1,恒生电子,1.0
2026-01-27/1,润和软件,1.0
2026-01-27/1,彩讯股份,1.0
2026-01-27/1,北特科技,1.0
2026-01-27/1,明冠新材,1.0
2026-01-27/1,中科软,1.0
2026-01-27/1,聚和材料,1.0
2026-01-27/1,帝科股份,1.0
2026-01-27/1,紫江新材,1.0
2026-01-27/1,ST威尔,1.0
2026-01-27/1,乾照光电,1.0
2026-01-27/1,电连技术,1.0
2026-01-27/1,拉普拉斯,1.0
2026-01-27/1,海优新材,1.0
2026-01-27/1,天合光能,1.0
2026-01-27/1,卓易信息,1.0
2026-01-27/1,招金黄金,1.0
2026-01-27/1,赤峰黄金,1.0
2026-01-27/1,西部黄金,1.0
2026-01-27/1,金钼股份,1.0
2026-01-27/1,晓程科技,1.0
2026-01-27/1,钒钛股份,1.0
2026-01-27/1,中国黄金,1.0
2026-01-27/1,中金黄金,1.0
2026-01-27/1,AI营销,1.0
2026-01-27/1,AI医疗,1.0
2026-01-27/1,AI编程,1.0
2026-01-27/1,依米康,1.0
2026-01-27/1,湖南黄金,1.0
2026-01-27/1,四川黄金,1.0
2026-01-27/1,锌业股份,1.0
2026-01-27/1,金徽股份,1.0
2026-01-27/1,威领股份,1.0
2026-01-27/1,山金国际,1.0
2026-01-27/1,贵研铂业,1.0
2026-01-27/1,株冶集团,1.0
2026-01-27/1,翔鹭钨业,1.0
2026-01-27/1,中钨高新,1.0
