时间,个股,得分
2026-01-27/3,信维通信,5.0
2026-01-27/3,明阳智能,4.0
2026-01-27/3,妙可蓝多,4.0
2026-01-27/3,一鸣食品,4.0
2026-01-27/3,新乳业,4.0
2026-01-27/3,均瑶健康,4.0
2026-01-27/3,舍得酒业,4.0
2026-01-27/3,来伊份,4.0
2026-01-27/3,好想你,4.0
2026-01-27/3,珍酒李渡,4.0
2026-01-27/3,甘源食品,4.0
2026-01-27/3,莱茵生物,4.0
2026-01-27/3,西麦食品,4.0
2026-01-27/3,古越龙山,4.0
2026-01-27/3,民生健康,4.0
2026-01-27/3,震有科技,4.0
2026-01-27/3,仙乐健康,4.0
2026-01-27/3,通宇通讯,4.0
2026-01-27/3,重庆啤酒,4.0
2026-01-27/3,晨光生物,4.0
2026-01-27/3,奥特维,3.0
2026-01-27/3,帝科股份,3.0
2026-01-27/3,钧达股份,3.0
2026-01-27/3,大金重工,3.0
2026-01-27/3,天顺风能,3.0
2026-01-27/3,艾罗能源,3.0
2026-01-27/3,德业股份,3.0
2026-01-27/3,东方电缆,3.0
2026-01-27/3,乾照光电,3.0
2026-01-27/3,上海港湾,3.0
2026-01-27/3,迈为股份,3.0
2026-01-27/3,华润微,2.0
2026-01-27/3,联德股份,2.0
2026-01-27/3,常宝股份,2.0
2026-01-27/3,隆达股份,2.0
2026-01-27/3,华虹半导体,2.0
2026-01-27/3,应流股份,2.0
2026-01-27/3,杰瑞股份,2.0
2026-01-27/3,晶苑国际,2.0
2026-01-27/3,森马服饰,2.0
2026-01-27/3,南山智尚,2.0
2026-01-27/3,禾迈股份,2.0
2026-01-27/3,海博思创,2.0
2026-01-27/3,士兰微,2.0
2026-01-27/3,晶科科技,2.0
2026-01-27/3,同力日升,2.0
2026-01-27/3,晶澳科技,2.0
2026-01-27/3,爱旭股份,2.0
2026-01-27/3,阿特斯,2.0
2026-01-27/3,弘元绿能,2.0
2026-01-27/3,TCL中环,2.0
2026-01-27/3,协鑫科技,2.0
2026-01-27/3,通威股份,2.0
2026-01-27/3,大全能源,2.0
2026-01-27/3,天合光能,2.0
2026-01-27/3,双良节能,2.0
2026-01-27/3,三安光电,2.0
2026-01-27/3,聚和材料,2.0
2026-01-27/3,晶科能源,2.0
2026-01-27/3,海优新材,2.0
2026-01-27/3,晶盛机电,2.0
2026-01-27/3,隆基绿能,2.0
2026-01-27/3,新华都,2.0
2026-01-27/3,百龙创园,2.0
2026-01-27/3,技源集团,2.0
2026-01-27/3,熊猫乳品,2.0
2026-01-27/3,东方日升,2.0
2026-01-27/3,帝尔激光,2.0
2026-01-27/3,百合股份,2.0
2026-01-27/3,高测股份,2.0
2026-01-27/3,劲仔食品,2.0
2026-01-27/3,日辰股份,2.0
2026-01-27/3,盐津铺子,2.0
2026-01-27/3,索宝蛋白,2.0
2026-01-27/3,锅圈,2.0
2026-01-27/3,林洋能源,2.0
2026-01-27/3,海光信息,2.0
2026-01-27/3,优刻得,2.0
