时间,个股,得分
2026-01-11/t,中恒电气,2.0
2026-01-11/t,迈为股份,2.0
2026-01-11/t,天际股份,1.0
2026-01-11/t,佛塑科技,1.0
2026-01-11/t,恩捷股份,1.0
2026-01-11/t,星源材质,1.0
2026-01-11/t,海科新源,1.0
2026-01-11/t,华盛锂电,1.0
2026-01-11/t,胜华新材,1.0
2026-01-11/t,新宙邦,1.0
2026-01-11/t,容百科技,1.0
2026-01-11/t,裕能,1.0
2026-01-11/t,万润,1.0
2026-01-11/t,嘉元科技,1.0
2026-01-11/t,德福,1.0
2026-01-11/t,凯盛科技,1.0
2026-01-11/t,天赐材料,1.0
2026-01-11/t,多氟多,1.0
2026-01-11/t,金刚光伏,1.0
2026-01-11/t,汇纳科技,1.0
2026-01-11/t,国瓷材料,1.0
2026-01-11/t,宇晶股份,1.0
2026-01-11/t,万润股份,1.0
2026-01-11/t,莱特光电,1.0
2026-01-11/t,瑞联新材,1.0
2026-01-11/t,瑞华泰,1.0
2026-01-11/t,中航机载,1.0
2026-01-11/t,中航高科,1.0
2026-01-11/t,中航西飞,1.0
2026-01-11/t,中航重机,1.0
2026-01-11/t,中航光电,1.0
2026-01-11/t,民士达,1.0
2026-01-11/t,润贝航科,1.0
2026-01-11/t,航发科技,1.0
2026-01-11/t,航发动力,1.0
2026-01-11/t,航材股份,1.0
2026-01-11/t,华秦科技,1.0
2026-01-11/t,盛洋科技,1.0
2026-01-11/t,信维通信,1.0
2026-01-11/t,飞沃科技,1.0
2026-01-11/t,广联航空,1.0
2026-01-11/t,超捷股份,1.0
2026-01-11/t,信科移动,1.0
2026-01-11/t,海格通信,1.0
2026-01-11/t,航天动力,1.0
2026-01-11/t,西测测试,1.0
2026-01-11/t,臻镭科技,1.0
2026-01-11/t,航天电器,1.0
2026-01-11/t,铂力特,1.0
2026-01-11/t,奥特维,1.0
2026-01-11/t,上海港湾,1.0
2026-01-11/t,乾照光电,1.0
2026-01-11/t,钧达股份,1.0
2026-01-11/t,三环集团,1.0
2026-01-11/t,春晖智控,1.0
2026-01-11/t,壹石通,1.0
2026-01-11/t,中集安瑞科,1.0
2026-01-11/t,小鹏汽车,1.0
2026-01-11/t,阿里巴巴,1.0
2026-01-11/t,腾讯控股,1.0
2026-01-11/t,科大讯飞,1.0
2026-01-11/t,金山办公,1.0
2026-01-11/t,合合信息,1.0
2026-01-11/t,星环科技,1.0
2026-01-11/t,汉得信息,1.0
2026-01-11/t,税友股份,1.0
2026-01-11/t,万兴科技,1.0
2026-01-11/t,金蝶国际,1.0
2026-01-11/t,深信服,1.0
2026-01-11/t,鼎捷数智,1.0
2026-01-11/t,润达医疗,1.0
2026-01-11/t,用友网络,1.0
2026-01-11/t,美年健康,1.0
2026-01-11/t,蓝色光标,1.0
2026-01-11/t,阅文集团,1.0
2026-01-11/t,中文在线,1.0
2026-01-11/t,斯菱智驱,1.0
2026-01-11/t,福赛科技,1.0
2026-01-11/t,科森科技,1.0
2026-01-11/t,新泉股份,1.0
2026-01-11/t,三花智控,1.0
2026-01-11/t,拓普集团,1.0
2026-01-11/t,恒立液压,1.0
2026-01-11/t,泛亚微透,1.0
2026-01-11/t,浙江荣泰,1.0
2026-01-11/t,奥比中光,1.0
2026-01-11/t,领益智造,1.0
2026-01-11/t,新益昌,1.0
2026-01-11/t,蓝思科技,1.0
2026-01-11/t,海康威视,1.0
2026-01-11/t,大华股份,1.0
2026-01-11/t,仙乐健康,1.0
2026-01-11/t,英维克,1.0
2026-01-11/t,思泉新材,1.0
2026-01-11/t,奕东电子,1.0
2026-01-11/t,荣信文化,1.0
2026-01-11/t,江特电机,1.0
2026-01-11/t,融捷股份,1.0
2026-01-11/t,赣锋锂业,1.0
2026-01-11/t,天齐锂业,1.0
2026-01-11/t,鼎泰高科,1.0
2026-01-11/t,胜宏科技,1.0
2026-01-11/t,源杰科技,1.0
2026-01-11/t,仕佳光子,1.0
2026-01-11/t,长光华芯,1.0
2026-01-11/t,永鼎股份,1.0
2026-01-11/t,东山精密,1.0
2026-01-11/t,云岭光电,1.0
2026-01-11/t,云南锗业,1.0
2026-01-11/t,华丰科技,1.0
2026-01-11/t,芯原股份,1.0
2026-01-11/t,伟测科技,1.0
2026-01-11/t,寒武纪,1.0
2026-01-11/t,海光信息,1.0
