时间,板块,得分
2026-01-15/2,有色金属,3.0
2026-01-15/2,电子,3.0
2026-01-15/2,半导体,3.0
2026-01-15/2,科技,2.0
2026-01-15/2,计算机,2.0
2026-01-15/2,人工智能,2.0
2026-01-15/2,生物医药,2.0
2026-01-15/2,通用航空,1.0
2026-01-15/2,云计算,1.0
2026-01-15/2,PCB,1.0
2026-01-15/2,证券,1.0
2026-01-15/2,风电,1.0
2026-01-15/2,光伏,1.0
2026-01-15/2,铜箔,1.0
2026-01-15/2,饲料,1.0
2026-01-15/2,电池,1.0
2026-01-15/2,新能源,1.0
2026-01-15/2,变压器,1.0
2026-01-15/2,网络安全,1.0
2026-01-15/2,通信服务,1.0
2026-01-15/2,锂电池,1.0
2026-01-15/2,通信设备,1.0
2026-01-15/2,贵金属,1.0
2026-01-15/2,农药,1.0
2026-01-15/2,液冷服务器,1.0
2026-01-15/2,光伏设备,1.0
2026-01-15/2,工程建设,1.0
2026-01-15/2,储能,1.0
2026-01-15/2,电力设备,1.0
