时间,板块,得分
2026-01-08/t,半导体,10.5
2026-01-08/t,计算机,5.1
2026-01-08/t,航天航空,5.0
2026-01-08/t,半导体材料,3.0
2026-01-08/t,国防军工,3.0
2026-01-08/t,固态电池,3.0
2026-01-08/t,电子元件,3.0
2026-01-08/t,零售,2.5
2026-01-08/t,光伏设备,2.0
2026-01-08/t,电子,2.0
2026-01-08/t,通信设备,2.0
2026-01-08/t,人工智能,2.0
2026-01-08/t,周期行业,2.0
2026-01-08/t,3D打印,2.0
2026-01-08/t,广告营销,2.0
2026-01-08/t,风电,2.0
2026-01-08/t,半导体设备,2.0
2026-01-08/t,机械设备,2.0
2026-01-08/t,卫星通信,2.0
2026-01-08/t,光通信,2.0
2026-01-08/t,PCB,1.0
2026-01-08/t,液冷,1.0
2026-01-08/t,商业航天,1.0
2026-01-08/t,医药生物,1.0
2026-01-08/t,光伏,1.0
2026-01-08/t,燃气轮机,1.0
2026-01-08/t,光刻胶,1.0
2026-01-08/t,工业母机,1.0
2026-01-08/t,航空航天,1.0
2026-01-08/t,航天装备,1.0
2026-01-08/t,传感器,1.0
2026-01-08/t,光器件,1.0
2026-01-08/t,消费电子,1.0
2026-01-08/t,光学光电子,1.0
2026-01-08/t,游戏,1.0
2026-01-08/t,金属,1.0
2026-01-08/t,光模块,1.0
2026-01-08/t,航运,1.0
2026-01-08/t,存储芯片,1.0
2026-01-08/t,计算机设备,1.0
2026-01-08/t,半导体及元件,1.0
2026-01-08/t,国产算力,1.0
2026-01-08/t,新材料,1.0
2026-01-08/t,营销服务,1.0
2026-01-08/t,充电桩,1.0
2026-01-08/t,汽车零部件,1.0
2026-01-08/t,太空能源,1.0
2026-01-08/t,智能驾驶,1.0
2026-01-08/t,软件开发,1.0
2026-01-08/t,航天,1.0
2026-01-08/t,石油化工,1.0
2026-01-08/t,黄金,0.5
2026-01-08/t,建筑装饰,0.5
2026-01-08/t,数据中心,0.5
2026-01-08/t,计算机应用,0.5
2026-01-08/t,养殖业,0.3
