时间,个股,得分
2026-01-13/3,佰维存储,3.0
2026-01-13/3,兆易创新,2.0
2026-01-13/3,江波龙,2.0
2026-01-13/3,北京君正,2.0
2026-01-13/3,卫宁健康,2.0
2026-01-13/3,鼎捷软件,2.0
2026-01-13/3,英维克,2.0
2026-01-13/3,伊戈尔,1.0
2026-01-13/3,金盘科技,1.0
2026-01-13/3,思源电气,1.0
2026-01-13/3,特变电工,1.0
2026-01-13/3,NAND,1.0
2026-01-13/3,DRAM,1.0
2026-01-13/3,HBM,1.0
2026-01-13/3,豪能股份,1.0
2026-01-13/3,协创数据,1.0
2026-01-13/3,四方股份,1.0
2026-01-13/3,平高电气,1.0
2026-01-13/3,中国西电,1.0
2026-01-13/3,普冉股份,1.0
2026-01-13/3,香农芯创,1.0
2026-01-13/3,德明利,1.0
2026-01-13/3,东芯股份,1.0
2026-01-13/3,创世纪,1.0
2026-01-13/3,华锐精密,1.0
2026-01-13/3,津上机床中国,1.0
2026-01-13/3,华锡有色,1.0
2026-01-13/3,大位科技,1.0
2026-01-13/3,润泽科技,1.0
2026-01-13/3,光环新网,1.0
2026-01-13/3,东阳光,1.0
2026-01-13/3,中恒电气,1.0
2026-01-13/3,科华数据,1.0
2026-01-13/3,溯联股份,1.0
2026-01-13/3,同飞股份,1.0
2026-01-13/3,康方生物,1.0
2026-01-13/3,荣昌生物,1.0
2026-01-13/3,三生制药,1.0
2026-01-13/3,科伦博泰,1.0
2026-01-13/3,晶泰控股,1.0
2026-01-13/3,英矽智能,1.0
2026-01-13/3,百利天恒,1.0
2026-01-13/3,翰森制药,1.0
2026-01-13/3,泓博医药,1.0
2026-01-13/3,成都先导,1.0
2026-01-13/3,金山办公,1.0
2026-01-13/3,医渡科技,1.0
2026-01-13/3,卓易信息,1.0
2026-01-13/3,汉得信息,1.0
2026-01-13/3,寒武纪,1.0
2026-01-13/3,海光信息,1.0
2026-01-13/3,浙江荣泰,1.0
2026-01-13/3,恒力液压,1.0
2026-01-13/3,新泉股份,1.0
2026-01-13/3,三花智控,1.0
2026-01-13/3,拓普集团,1.0
2026-01-13/3,新剑传动,1.0
2026-01-13/3,五洲新春,1.0
2026-01-13/3,斯菱股份,1.0
2026-01-13/3,万兴科技,1.0
2026-01-13/3,税友股份,1.0
2026-01-13/3,蓝色光标,1.0
2026-01-13/3,易点天下,1.0
2026-01-13/3,浩瀚深度,1.0
2026-01-13/3,能科科技,1.0
2026-01-13/3,铂力特,1.0
2026-01-13/3,华曙高科,1.0
2026-01-13/3,银邦股份,1.0
2026-01-13/3,飞沃科技,1.0
2026-01-13/3,江顺科技,1.0
2026-01-13/3,有研粉材,1.0
2026-01-13/3,锐科激光,1.0
2026-01-13/3,京东健康,1.0
2026-01-13/3,阿里健康,1.0
2026-01-13/3,美年健康,1.0
2026-01-13/3,嘉和美康,1.0
2026-01-13/3,润达医疗,1.0
2026-01-13/3,迪安诊断,1.0
2026-01-13/3,金域医学,1.0
2026-01-13/3,涪陵电力,1.0
2026-01-13/3,强一,1.0
2026-01-13/3,拓荆,1.0
2026-01-13/3,立讯精密,1.0
2026-01-13/3,闻泰科技,1.0
2026-01-13/3,厦钨新能,1.0
2026-01-13/3,上海洗霸,1.0
2026-01-13/3,当升科技,1.0
2026-01-13/3,先导智能,1.0
2026-01-13/3,联赢激光,1.0
2026-01-13/3,荣旗科技,1.0
2026-01-13/3,比亚迪,1.0
2026-01-13/3,宁德时代,1.0
2026-01-13/3,招金矿业,1.0
2026-01-13/3,亚光科技,1.0
2026-01-13/3,天箭科技,1.0
2026-01-13/3,铖昌科技,1.0
2026-01-13/3,臻镭科技,1.0
2026-01-13/3,电科芯片,1.0
2026-01-13/3,国博电子,1.0
2026-01-13/3,星环科技,1.0
2026-01-13/3,通宇通讯,1.0
2026-01-13/3,澜起科技,1.0
2026-01-13/3,贵研铂业,0.0
2026-01-13/3,金浔资源,0.0
2026-01-13/3,迈富时,0.0
2026-01-13/3,隆达股份,0.0
2026-01-13/3,云南铜业,0.0
2026-01-13/3,沃尔德,0.0
2026-01-13/3,云南锗业,0.0
2026-01-13/3,锡业股份,0.0
2026-01-13/3,第四范式,0.0
2026-01-13/3,长江证券,0.0
2026-01-13/3,AI应用,0.0
2026-01-13/3,甬金股份,0.0
2026-01-13/3,凯盛科技,0.0
