时间,个股,得分
2026-01-05/t,创新医疗,4.0
2026-01-05/t,三博脑科,4.0
2026-01-05/t,爱朋医疗,3.0
2026-01-05/t,美好医疗,3.0
2026-01-05/t,翔宇医疗,3.0
2026-01-05/t,纳科诺尔,3.0
2026-01-05/t,中孚实业,2.0
2026-01-05/t,宏创控股,2.0
2026-01-05/t,神火股份,2.0
2026-01-05/t,天山铝业,2.0
2026-01-05/t,云铝股份,2.0
2026-01-05/t,中国中免,2.0
2026-01-05/t,联赢激光,2.0
2026-01-05/t,厦钨新能,2.0
2026-01-05/t,国瓷材料,2.0
2026-01-05/t,利通科技,2.0
2026-01-05/t,中芯国际,2.0
2026-01-05/t,中国铝业,2.0
2026-01-05/t,麦澜德,2.0
2026-01-05/t,王府井,2.0
2026-01-05/t,宏工科技,2.0
2026-01-05/t,中微公司,2.0
2026-01-05/t,拓荆科技,2.0
2026-01-05/t,北方华创,2.0
2026-01-05/t,微导纳米,2.0
2026-01-05/t,海光信息,2.0
2026-01-05/t,寒武纪,2.0
2026-01-05/t,先导智能,2.0
2026-01-05/t,拓普集团,1.0
2026-01-05/t,明泰铝业,1.0
2026-01-05/t,中国宏桥,1.0
2026-01-05/t,华通线缆,1.0
2026-01-05/t,南山铝业,1.0
2026-01-05/t,珠免集团,1.0
2026-01-05/t,海亮股份,1.0
2026-01-05/t,中一科技,1.0
2026-01-05/t,博拓生物,1.0
2026-01-05/t,心玮医疗,1.0
2026-01-05/t,科创芯片ETF指数,1.0
2026-01-05/t,机器人ETF鹏华,1.0
2026-01-05/t,科创AIETF鹏华,1.0
2026-01-05/t,科创半导体ETF鹏华,1.0
2026-01-05/t,华峰铝业,1.0
2026-01-05/t,国脉科技,1.0
2026-01-05/t,恒辉安防,1.0
2026-01-05/t,蓝思科技,1.0
2026-01-05/t,模塑科技,1.0
2026-01-05/t,恒立液压,1.0
2026-01-05/t,三花智控,1.0
2026-01-05/t,五洲新春,1.0
2026-01-05/t,浙江荣泰,1.0
2026-01-05/t,德赛西威,1.0
2026-01-05/t,京北方,1.0
2026-01-05/t,海南发展,1.0
2026-01-05/t,华策影视,1.0
2026-01-05/t,麒麟信安,1.0
2026-01-05/t,达梦数据,1.0
2026-01-05/t,万向钱潮,1.0
2026-01-05/t,北特科技,1.0
2026-01-05/t,长亮科技,1.0
2026-01-05/t,新国都,1.0
2026-01-05/t,新大陆,1.0
2026-01-05/t,广电运通,1.0
2026-01-05/t,拉卡拉,1.0
2026-01-05/t,楚天龙,1.0
2026-01-05/t,信安世纪,1.0
2026-01-05/t,宇信科技,1.0
2026-01-05/t,中坚科技,1.0
2026-01-05/t,瑞芯微,1.0
2026-01-05/t,恒玄科技,1.0
2026-01-05/t,星宸科技,1.0
2026-01-05/t,地平线,1.0
2026-01-05/t,经纬恒润,1.0
2026-01-05/t,震裕科技,1.0
2026-01-05/t,凌志软件,1.0
2026-01-05/t,韦尔股份,1.0
2026-01-05/t,晶丰明源,1.0
2026-01-05/t,艾为电子,1.0
2026-01-05/t,南芯科技,1.0
2026-01-05/t,思特威,1.0
2026-01-05/t,格科微,1.0
2026-01-05/t,中科飞测,1.0
2026-01-05/t,晶晨股份,1.0
2026-01-05/t,圣邦股份,1.0
2026-01-05/t,纳芯微,1.0
2026-01-05/t,思瑞浦,1.0
2026-01-05/t,杰华特,1.0
2026-01-05/t,乐鑫科技,1.0
2026-01-05/t,全志科技,1.0
2026-01-05/t,中科蓝迅,1.0
2026-01-05/t,炬芯科技,1.0
2026-01-05/t,安集科技,1.0
2026-01-05/t,京仪装备,1.0
2026-01-05/t,珂玛科技,1.0
2026-01-05/t,上海新阳,1.0
2026-01-05/t,晶合集成,1.0
2026-01-05/t,华润微,1.0
2026-01-05/t,燕东微,1.0
2026-01-05/t,芯源微,1.0
2026-01-05/t,汇成股份,1.0
2026-01-05/t,盈趣科技,1.0
2026-01-05/t,狄耐克,1.0
2026-01-05/t,东微半导,1.0
2026-01-05/t,诚益通,1.0
2026-01-05/t,飞沃科技,1.0
2026-01-05/t,金山办公,1.0
2026-01-05/t,合合信息,1.0
2026-01-05/t,百度集团,1.0
2026-01-05/t,阅文集团,1.0
2026-01-05/t,澜起科技,1.0
2026-01-05/t,骄成超声,1.0
2026-01-05/t,宁德时代,1.0
2026-01-05/t,当升科技,1.0
2026-01-05/t,快手-W,1.0
2026-01-05/t,岩山科技,1.0
2026-01-05/t,香农芯创,1.0
2026-01-05/t,德明利,1.0
2026-01-05/t,佰维存储,1.0
2026-01-05/t,江波龙,1.0
2026-01-05/t,乐普医疗,1.0
2026-01-05/t,中文在线,1.0
2026-01-05/t,灵鸽科技,1.0
2026-01-05/t,杭可科技,1.0
2026-01-05/t,明阳智能,1.0
2026-01-05/t,东方电气,1.0
2026-01-05/t,腾讯控股,1.0
2026-01-05/t,翱捷科技,1.0
2026-01-05/t,金风科技,1.0
2026-01-05/t,三一重能,1.0
2026-01-05/t,北京君正,1.0
2026-01-05/t,国轩高科,1.0
2026-01-05/t,兆易创新,1.0
2026-01-05/t,三祥新材,1.0
2026-01-05/t,上海洗霸,1.0
2026-01-05/t,欣界能源,0.0
2026-01-05/t,金龙羽,0.0
2026-01-05/t,用友网络,0.0
2026-01-05/t,蓝色光标,0.0
2026-01-05/t,泛微网络,0.0
2026-01-05/t,鼎捷软件,0.0
2026-01-05/t,焦点科技,0.0
2026-01-05/t,汉得信息,0.0
2026-01-05/t,恒生电子,0.0
2026-01-05/t,天力复合,0.0
2026-01-05/t,今创集团,0.0
2026-01-05/t,双良节能,0.0
2026-01-05/t,中集安瑞科,0.0
2026-01-05/t,东方日升,0.0
2026-01-05/t,钧达股份,0.0
2026-01-05/t,国机精工,0.0
2026-01-05/t,安徽合力,0.0
2026-01-05/t,富士达,0.0
2026-01-05/t,普利特,0.0
2026-01-05/t,中科星图,0.0
2026-01-05/t,西部材料,0.0
2026-01-05/t,中航重机,0.0
2026-01-05/t,苏试试验,0.0
2026-01-05/t,高华科技,0.0
2026-01-05/t,华菱线缆,0.0
2026-01-05/t,西测测试,0.0
2026-01-05/t,陕西华达,0.0
2026-01-05/t,国博电子,0.0
2026-01-05/t,中国卫通,0.0
2026-01-05/t,广联航空,0.0
2026-01-05/t,超捷股份,0.0
2026-01-05/t,上海港湾,0.0
2026-01-05/t,顺灏股份,0.0
2026-01-05/t,佳缘科技,0.0
2026-01-05/t,海格通信,0.0
2026-01-05/t,斯瑞新材,0.0
2026-01-05/t,震有科技,0.0
