时间,板块,得分
2026-01-21/3,半导体,6.0
2026-01-21/3,机械设备,4.0
2026-01-21/3,通信设备,4.0
2026-01-21/3,机器人,3.0
2026-01-21/3,电源设备,2.0
2026-01-21/3,医药,2.0
2026-01-21/3,光通信,2.0
2026-01-21/3,电子,1.0
2026-01-21/3,金融信息服务,1.0
2026-01-21/3,汽车零部件,1.0
2026-01-21/3,高压软管,1.0
2026-01-21/3,证券,1.0
2026-01-21/3,电气设备,1.0
2026-01-21/3,医疗器械,1.0
2026-01-21/3,有色金属,1.0
2026-01-21/3,计算机应用,1.0
2026-01-21/3,生物制药,1.0
2026-01-21/3,光模块,1.0
2026-01-21/3,半导体设备,1.0
2026-01-21/3,化工,1.0
2026-01-21/3,电子元件,1.0
2026-01-21/3,固态电池,1.0
2026-01-21/3,半导体及元件,1.0
2026-01-21/3,煤炭,0.0
