时间,板块,得分
2026-01-18/t,机器人,2.0
2026-01-18/t,轻工制造,2.0
2026-01-18/t,电力,2.0
2026-01-18/t,电网设备,1.0
2026-01-18/t,有色金属,1.0
2026-01-18/t,半导体,1.0
2026-01-18/t,人工智能,1.0
2026-01-18/t,半导体材料,1.0
2026-01-18/t,储能,1.0
2026-01-18/t,环保,1.0
2026-01-18/t,纺织服装,1.0
2026-01-18/t,计算机应用,1.0
2026-01-18/t,电池回收,1.0
2026-01-18/t,银行,1.0
2026-01-18/t,数据中心,1.0
2026-01-18/t,科技,1.0
2026-01-18/t,PCB,1.0
2026-01-18/t,太空能源,1.0
2026-01-18/t,化工,1.0
2026-01-18/t,电力设备,1.0
2026-01-18/t,燃气发动机,1.0
2026-01-18/t,通用设备,1.0
2026-01-18/t,航天装备,1.0
2026-01-18/t,风电,1.0
2026-01-18/t,机械设备,0.0
